2018-04-23-21-35-07 Smart Handle = otoscope
2018-04-23-21-35-07 Bluetooth Address = 00:06:66:83:89:6D
2018-04-23-21-39-39 Smart Handle = otoscope
2018-04-23-21-39-39 Bluetooth Address = 00:06:66:83:89:6D
2018-04-23-21-42-30 Smart Handle = otoscope
2018-04-23-21-42-30 Bluetooth Address = 00:06:66:83:89:6D
16.92,1.23,-0.40,2.36,0.46,-0.02,0.88,0.49,0.40,0.35,-27.74,-1.16,227.85,6.97,255
17.19,2.21,1.04,0.30,0.46,-0.01,0.87,0.49,0.40,0.36,-27.96,-0.98,227.77,6.65,255
17.47,1.10,1.42,0.49,0.47,-0.02,0.88,0.48,0.40,0.36,-28.28,-1.17,228.04,2.22,255
17.73,1.05,0.71,0.28,0.47,-0.02,0.86,0.49,0.41,0.36,-28.73,-1.57,228.57,0.32,0
18.03,-1.42,-0.31,-0.16,0.47,-0.00,0.88,0.49,0.41,0.36,-27.91,-0.13,228.42,0.00,0
18.30,0.22,-0.01,0.43,0.46,-0.00,0.89,0.49,0.41,0.34,-27.15,-0.12,228.76,0.00,0
18.56,2.03,-0.53,0.52,0.46,-0.01,0.88,0.48,0.41,0.34,-27.57,-0.44,229.20,0.00,0
18.84,0.37,1.23,0.86,0.45,-0.00,0.88,0.48,0.41,0.35,-27.24,-0.19,229.14,0.00,0
19.11,0.52,1.41,1.06,0.46,-0.01,0.88,0.48,0.41,0.35,-27.57,-0.38,228.88,0.00,0
19.39,1.02,0.73,1.06,0.47,-0.00,0.88,0.48,0.41,0.35,-27.99,-0.15,229.07,0.00,0
19.66,1.46,1.26,0.67,0.46,-0.00,0.88,0.48,0.42,0.36,-27.80,-0.05,229.27,0.00,0
19.91,-3.92,4.30,-0.51,0.46,0.00,0.88,0.48,0.42,0.35,-27.55,0.28,229.43,0.00,0
