Date/Time: 2018-04-25-22-12-52
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
68.76, 0.47, 3.54, False
69.02, 0.47, 3.54, False
69.27, 0.47, 3.54, False
69.53, 0.47, 3.54, False
69.78, 0.47, 3.54, False
70.04, 0.47, 3.54, False
70.30, 0.47, 3.54, False
70.55, 0.47, 3.54, False
70.81, 0.47, 3.54, False
71.06, 0.47, 3.54, False
71.32, 0.47, 3.54, False
71.58, 0.47, 3.54, False
71.83, 0.47, 3.54, False
72.09, 0.47, 3.54, False
72.34, 0.47, 3.54, False
72.59, 0.47, 3.54, False
72.84, 0.47, 3.54, False
73.10, 0.47, 3.54, False
73.36, 0.47, 3.54, False
73.61, 0.47, 3.54, False
73.87, 0.47, 3.54, False
74.12, 0.47, 3.54, False
74.38, 0.47, 3.54, False
74.64, 0.47, 3.54, False
74.89, 0.47, 3.54, False
75.15, 0.47, 3.54, False
75.40, 0.47, 3.54, False
75.66, 0.47, 3.54, False
75.91, 0.47, 3.54, False
76.17, 0.47, 3.54, False
76.43, 0.47, 3.54, False
76.68, 0.47, 3.54, False
76.94, 0.47, 3.54, False
77.19, 0.47, 3.54, False
77.45, 0.47, 3.54, False
77.70, 0.47, 3.54, False
77.96, 0.47, 3.54, False
78.21, 0.47, 3.54, False
78.47, 0.47, 3.54, False
78.72, 0.47, 3.54, False
78.98, 0.47, 3.54, False
79.24, 0.47, 3.54, False
79.49, 0.47, 3.54, False
79.75, 0.47, 3.54, False
80.01, 0.47, 3.54, False
80.26, 0.47, 3.54, False
80.51, 0.47, 3.54, False
80.76, 0.47, 3.54, False
81.02, 0.47, 3.54, False
81.28, 0.47, 3.54, False
81.54, 0.47, 3.54, False
81.79, 0.47, 3.54, False
82.05, 0.47, 3.54, False
82.31, 0.47, 3.54, False
82.57, 0.47, 3.54, False
82.83, 0.47, 3.54, False
83.08, 0.47, 3.54, False
83.34, 0.47, 3.54, False
83.60, 0.47, 3.54, False
83.86, 0.47, 3.54, False
84.11, 0.47, 3.54, False
84.37, 0.47, 3.54, False
84.63, 0.47, 3.54, False
84.89, 0.47, 3.54, False
85.15, 0.47, 3.54, False
85.40, 0.47, 3.54, False
85.66, 0.47, 3.54, False
85.92, 0.47, 3.54, False
86.17, 0.47, 3.54, False
86.43, 0.47, 3.54, False
86.68, 0.47, 3.54, False
86.94, 0.47, 3.54, False
87.20, 0.47, 3.54, False
87.46, 0.47, 3.54, False
87.72, 0.47, 3.54, False
87.98, 0.47, 3.54, False
88.23, 0.47, 3.54, False
