Date/Time: 2018-04-30-23-47-50
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg, SIM
41.52, 0.48, 3.62, False
41.77, 0.48, 3.60, False
42.03, 0.48, 3.60, False
42.28, 0.48, 3.60, False
42.53, 0.48, 3.62, False
42.79, 0.48, 3.62, False
43.05, 0.48, 3.62, False
43.30, 0.48, 3.62, False
43.56, 0.48, 3.62, False
43.81, 0.48, 3.60, False
44.06, 0.48, 3.60, False
