===================== 
Scenario =  
Instrument = ScopePanel
This is a header line 
===================== 
TIM,0,,
TIM,7.95960497856,OUT,0,
TIM,7.98178005219,OUT,0,
TIM,8.00320696831,OUT,0,
TIM,8.02536010742,OUT,0,
TIM,8.04756808281,OUT,0,
TIM,8.06990218163,OUT,0,
TIM,8.09126901627,OUT,0,
TIM,8.11366605759,OUT,0,
TIM,8.13571596146,OUT,0,
TIM,8.15686106682,OUT,0,
TIM,8.17959618568,OUT,0,
TIM,8.20198011398,OUT,0,
TIM,8.22391796112,OUT,0,
TIM,8.24503803253,OUT,0,
TIM,8.26761698723,OUT,0,
TIM,8.29106402397,OUT,0,
TIM,8.31211805344,OUT,0,
TIM,8.33317613602,OUT,0,
TIM,8.35567998886,OUT,0,
TIM,8.37833809853,OUT,0,
TIM,8.40043711662,OUT,0,
TIM,8.42169213295,OUT,0,
TIM,8.44382810593,OUT,0,
TIM,8.46640110016,OUT,0,
TIM,8.48860406876,OUT,0,
TIM,8.51000118256,OUT,0,
TIM,8.5321791172,OUT,0,
TIM,8.55444002151,OUT,0,
TIM,8.5766711235,OUT,0,
TIM,8.59815502167,OUT,0,
TIM,8.62032914162,OUT,0,
TIM,8.64265108109,OUT,0,
TIM,8.66377902031,OUT,0,
TIM,8.68636107445,OUT,0,
TIM,8.70875501633,OUT,0,
TIM,8.73078107834,OUT,0,
TIM,8.75184512138,OUT,0,
TIM,8.77442502975,OUT,0,
TIM,8.79688811302,OUT,0,
TIM,8.81893801689,OUT,0,
TIM,8.84006595612,OUT,0,
TIM,8.86248803139,OUT,0,
TIM,8.88503217697,OUT,0,
TIM,8.90714597702,OUT,0,
TIM,8.92835617065,OUT,0,
TIM,8.95075201988,OUT,0,
TIM,8.97310996056,OUT,0,
TIM,8.99479007721,OUT,0,
TIM,9.016518116,OUT,0,
TIM,9.03921604156,OUT,0,
TIM,9.06114506721,OUT,0,
TIM,9.08260297775,OUT,0,
TIM,9.10509896278,OUT,0,
TIM,9.12725901604,OUT,0,
TIM,9.14932107925,OUT,0,
TIM,9.17074108124,OUT,0,
TIM,9.1943590641,OUT,0,
TIM,9.21554017067,OUT,0,
TIM,9.23755502701,OUT,0,
TIM,9.25879716873,OUT,0,
TIM,9.28120708466,OUT,0,
TIM,9.30369710922,OUT,0,
TIM,9.32570695877,OUT,0,
TIM,9.34695100784,OUT,0,
TIM,9.36953115463,OUT,0,
TIM,9.3918390274,OUT,0,
TIM,9.41396403313,OUT,0,
TIM,9.43516802788,OUT,0,
TIM,9.45740699768,OUT,0,
TIM,9.47990512848,OUT,0,
TIM,9.5012140274,OUT,0,
TIM,9.5233631134,OUT,0,
TIM,9.54565310478,OUT,0,
TIM,9.56788706779,OUT,0,
TIM,9.58932304382,OUT,0,
TIM,9.61173415184,OUT,0,
TIM,9.63395810127,OUT,0,
TIM,9.65610814095,OUT,0,
TIM,9.67751598358,OUT,0,
TIM,9.69999217987,OUT,0,
TIM,9.72206902504,OUT,0,
TIM,9.74433302879,OUT,0,
TIM,9.76546812057,OUT,0,
TIM,9.78821611404,OUT,0,
TIM,9.81044507027,OUT,0,
TIM,9.8325150013,OUT,0,
TIM,9.85375618935,OUT,0,
TIM,9.8764731884,OUT,0,
TIM,9.89868307114,OUT,0,
TIM,9.92070698738,OUT,0,
TIM,9.94193696976,OUT,0,
TIM,9.96434211731,OUT,0,
TIM,9.98664212227,OUT,0,
