Date/Time: 2018-04-25-15-40-26
Device Name: Blood Pressure Cuff
Units: seconds, kPa, mmHg
31.74, 11.77, 88.27
31.99, 11.77, 88.33
32.25, 11.93, 89.48
32.50, 11.74, 88.06
32.76, 11.74, 88.08
33.02, 11.69, 87.67
33.27, 11.65, 87.37
33.52, 11.58, 86.88
33.78, 11.50, 86.30
34.03, 11.48, 86.16
34.29, 11.44, 85.86
34.55, 11.44, 85.83
34.80, 11.32, 84.93
35.05, 11.30, 84.79
35.30, 11.27, 84.53
35.56, 11.17, 83.83
35.82, 11.10, 83.24
36.07, 11.07, 83.05
36.32, 10.83, 81.27
36.58, 10.84, 81.31
36.83, 10.74, 80.55
37.09, 10.70, 80.25
37.34, 10.72, 80.42
37.60, 10.63, 79.73
37.85, 10.70, 80.31
38.11, 13.66, 102.52
38.36, 13.77, 103.29
38.62, 15.47, 116.10
38.88, 17.16, 128.76
39.13, 17.56, 131.77
39.38, 17.63, 132.30
39.64, 19.01, 142.63
39.90, 18.77, 140.79
40.15, 18.62, 139.67
40.40, 18.51, 138.84
40.66, 18.38, 137.88
40.92, 18.26, 136.98
41.18, 18.18, 136.41
41.44, 18.09, 135.73
41.69, 18.00, 135.03
41.95, 17.91, 134.36
42.20, 17.88, 134.13
42.46, 17.84, 133.83
42.72, 17.79, 133.48
42.97, 17.74, 133.07
43.22, 17.69, 132.70
43.48, 17.63, 132.24
43.73, 17.57, 131.83
43.99, 17.52, 131.44
44.24, 17.43, 130.76
44.50, 17.39, 130.46
44.75, 17.33, 129.99
45.00, 17.29, 129.70
45.26, 17.22, 129.18
45.51, 17.16, 128.73
45.77, 17.07, 128.08
46.02, 17.04, 127.88
46.27, 17.02, 127.72
46.53, 16.95, 127.17
46.79, 16.92, 126.98
47.04, 16.91, 126.85
47.29, 16.89, 126.74
47.55, 16.85, 126.38
47.81, 16.81, 126.13
48.07, 19.89, 149.22
48.32, 19.71, 147.88
48.57, 19.49, 146.21
48.83, 19.32, 144.95
49.08, 19.20, 144.08
49.34, 19.13, 143.53
49.60, 19.05, 142.92
49.86, 18.96, 142.27
50.11, 18.89, 141.74
50.37, 18.82, 141.17
50.62, 18.76, 140.73
50.87, 18.73, 140.52
51.12, 18.66, 139.97
51.38, 18.61, 139.63
51.64, 18.57, 139.33
51.90, 18.52, 138.95
52.15, 18.51, 138.90
52.41, 18.47, 138.60
52.67, 18.39, 137.96
52.93, 18.43, 138.29
53.18, 18.71, 140.35
53.44, 21.83, 163.78
53.69, 23.69, 177.71
53.95, 23.15, 173.71
54.21, 22.85, 171.45
54.46, 22.67, 170.07
54.72, 22.54, 169.12
54.97, 22.46, 168.54
55.23, 22.36, 167.77
55.48, 22.26, 167.01
55.74, 22.14, 166.10
55.99, 22.06, 165.52
56.25, 21.94, 164.60
56.50, 21.86, 164.00
56.76, 21.77, 163.36
57.01, 21.71, 162.87
57.26, 21.63, 162.29
57.52, 21.55, 161.71
57.77, 21.47, 161.11
58.03, 21.41, 160.65
58.29, 21.32, 159.97
58.54, 20.51, 153.88
58.79, 19.73, 148.00
59.04, 19.02, 142.68
59.30, 18.80, 141.06
59.55, 18.81, 141.14
59.81, 19.79, 148.44
60.06, 19.54, 146.57
60.32, 19.58, 146.89
60.57, 19.46, 145.99
60.82, 19.39, 145.48
61.08, 19.31, 144.89
61.34, 19.24, 144.32
61.59, 19.19, 143.99
61.85, 19.12, 143.45
62.11, 19.05, 142.95
62.36, 19.01, 142.60
62.62, 18.97, 142.33
62.87, 18.92, 141.92
63.13, 18.89, 141.70
63.38, 18.84, 141.37
63.64, 18.79, 140.95
63.89, 18.75, 140.65
64.15, 18.71, 140.37
64.40, 18.64, 139.81
64.65, 18.16, 136.24
64.91, 17.71, 132.85
65.16, 17.59, 131.97
65.41, 17.54, 131.56
65.67, 17.50, 131.31
65.92, 17.41, 130.63
66.18, 17.37, 130.33
66.43, 17.33, 130.03
66.69, 17.30, 129.78
66.94, 17.24, 129.37
67.20, 17.22, 129.18
67.45, 17.19, 128.93
67.71, 17.12, 128.43
67.97, 16.92, 126.92
68.22, 16.00, 120.06
68.48, 15.77, 118.32
68.73, 15.71, 117.86
68.99, 15.50, 116.27
69.25, 13.26, 99.50
69.50, 10.99, 82.42
69.75, 9.12, 68.41
70.01, 7.51, 56.33
70.27, 6.14, 46.08
70.52, 5.04, 37.81
70.78, 4.13, 30.96
71.04, 3.41, 25.59
71.29, 2.84, 21.30
71.54, 2.40, 17.99
71.80, 2.06, 15.47
72.06, 1.80, 13.47
72.31, 1.60, 11.98
72.56, 1.44, 10.83
72.82, 1.32, 9.90
73.07, 1.22, 9.19
73.33, 1.14, 8.56
73.58, 1.08, 8.14
73.83, 1.03, 7.74
74.09, 0.99, 7.43
74.34, 0.95, 7.14
74.60, 0.91, 6.86
74.85, 0.88, 6.62
75.11, 0.86, 6.42
75.37, 0.83, 6.20
75.62, 0.80, 6.02
75.88, 0.78, 5.87
76.14, 0.76, 5.73
76.39, 0.74, 5.58
76.65, 0.73, 5.49
76.90, 0.72, 5.38
77.16, 0.71, 5.32
77.42, 0.70, 5.22
77.67, 0.68, 5.11
77.93, 0.67, 5.03
78.18, 0.66, 4.95
78.43, 0.65, 4.89
78.69, 0.64, 4.81
78.95, 0.64, 4.78
79.21, 0.63, 4.73
79.46, 0.63, 4.72
79.71, 0.63, 4.73
79.97, 0.64, 4.76
80.22, 0.62, 4.67
80.48, 0.62, 4.62
80.74, 0.61, 4.58
81.00, 0.60, 4.53
81.25, 0.60, 4.48
81.51, 0.60, 4.47
81.76, 0.59, 4.43
82.01, 0.59, 4.40
82.26, 0.58, 4.36
82.52, 0.58, 4.32
82.77, 0.57, 4.28
83.03, 0.57, 4.26
83.28, 0.56, 4.23
